run_accession	scientific_name	sample_lat	sample_lon	biome	mapping	Assembling
MCMSL335680	air	59.91273	10.74609	Air	Yes	Yes
MGWSL342447	air	59.33258	18.0649	Air	Yes	Yes
MCMSL335745	air	39.73915	-104.9847	Air	Yes	Yes
SRR10613483	air	40.0047	116.3261	Air	Yes	Yes
SRR10613552	air	40.0047	116.3261	Air	Yes	Yes
SRR10613493	air	40.0047	116.3261	Air	Yes	Yes
SRR10613565	air	40.0047	116.3261	Air	Yes	Yes
MCMSL335696	air	59.91273	10.74609	Air	Yes	Yes
SRR10613514	air	40.0047	116.3261	Air	Yes	Yes
SRR5487541	air	43.57	-96.44	Air	Yes	Yes
SRR10613539	air	40.0047	116.3261	Air	Yes	Yes
SRR8745594	air	59.97654	11.048691	Air	Yes	Yes
SRR10613583	air	40.0047	116.3261	Air	Yes	Yes
MCMSL335748	air	39.73915	-104.9847	Air	Yes	Yes
SRR10613521	air	40.0047	116.3261	Air	Yes	Yes
SRR10613550	air	40.0047	116.3261	Air	Yes	Yes
SRR10613582	air	40.0047	116.3261	Air	Yes	Yes
SRR10613502	air	40.0047	116.3261	Air	Yes	Yes
MGWSL342419	air	51.50853	-0.12574	Air	Yes	Yes
MCMSL335715	air	59.91273	10.74609	Air	Yes	Yes
SRR10613577	air	40.0047	116.3261	Air	Yes	Yes
SRR8745592	air	59.97654	11.048691	Air	Yes	Yes
MCMSL335697	air	59.91273	10.74609	Air	Yes	Yes
MCMSL335693	air	59.91273	10.74609	Air	Yes	Yes
SRR10613541	air	40.0047	116.3261	Air	Yes	Yes
ERR3230156	air	22.41	39.14	Air	Yes	Yes
K7GSL311027	air	59.91273	10.74609	Air	Yes	Yes
SRR10613555	air	40.0047	116.3261	Air	Yes	Yes
MGWSL342437	air	59.33258	18.0649	Air	Yes	Yes
K7GSL311029	air	59.91273	10.74609	Air	Yes	Yes
SRR6051181	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051617	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6050903	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051700	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051236	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051230	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051411	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6050905	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051699	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6050960	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6050920	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051345	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6051612	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
SRR6050921	aquifer	38.9383	-110.1342	Freshwater	Yes	Yes
