			
			
Samples (NCBI, JGI, MetaSub project)	Lat	Lon	Countries
			
ERR3230147	22.41	39.14	Saudi Arabia
ERR3230148	25.33	37.03	NA
ERR3230149	22.41	39.14	Saudi Arabia
ERR3230150	22.41	39.14	Saudi Arabia
ERR3230151	27.23	34.95	NA
ERR3230152	22.41	39.14	Saudi Arabia
ERR3230153	22.41	39.14	Saudi Arabia
ERR3230154	22.41	39.14	Saudi Arabia
ERR3230155	22.41	39.14	Saudi Arabia
ERR3230156	22.41	39.14	Saudi Arabia
SRR10613539	40.0047	116.3261	China
SRR10613560	40.0047	116.3261	China
SRR5487501	37.15	-119.44	United States of America
SRR5487502	37.15	-119.44	United States of America
SRR5487503	37.15	-119.44	United States of America
SRR5487504	37.15	-119.44	United States of America
SRR5487521	37.15	-119.44	United States of America
SRR5487533	43.57	-96.44	United States of America
SRR5487534	43.57	-96.44	United States of America
SRR5487535	43.57	-96.44	United States of America
SRR5487536	35.22	-97.07	United States of America
SRR5487537	32.19	-94.04	United States of America
SRR5487538	41	-102.05	United States of America
SRR5487539	35.22	-97.07	United States of America
SRR5487540	43.57	-96.44	United States of America
SRR5487541	43.57	-96.44	United States of America
SRR8745587	59.97654	11.048691	Norway
SRR8745588	59.97654	11.048691	Norway
SRR8745589	59.97654	11.048691	Norway
SRR8745590	59.97654	11.048691	Norway
SRR8745591	59.97654	11.048691	Norway
SRR8745592	59.97654	11.048691	Norway
K7GSL311015	59.91273	10.74609	Norway
K7GSL311016	59.91273	10.74609	Norway
K7GSL311017	59.91273	10.74609	Norway
K7GSL311018	59.91273	10.74609	Norway
K7GSL311019	59.91273	10.74609	Norway
K7GSL311020	59.91273	10.74609	Norway
K7GSL311021	59.91273	10.74609	Norway
K7GSL311022	59.91273	10.74609	Norway
K7GSL311023	59.91273	10.74609	Norway
K7GSL311024	59.91273	10.74609	Norway
K7GSL311025	59.91273	10.74609	Norway
K7GSL311026	59.91273	10.74609	Norway
K7GSL311027	59.91273	10.74609	Norway
K7GSL311028	59.91273	10.74609	Norway
K7GSL311029	59.91273	10.74609	Norway
K7GSL311030	59.91273	10.74609	Norway
MCMSL335676	59.91273	10.74609	Norway
MCMSL335677	59.91273	10.74609	Norway
MCMSL335678	59.91273	10.74609	Norway
MCMSL335679	59.91273	10.74609	Norway
MCMSL335680	59.91273	10.74609	Norway
MCMSL335681	59.91273	10.74609	Norway
MCMSL335682	59.91273	10.74609	Norway
MCMSL335684	59.91273	10.74609	Norway
MCMSL335685	59.91273	10.74609	Norway
MCMSL335686	59.91273	10.74609	Norway
MCMSL335687	59.91273	10.74609	Norway
MCMSL335688	59.91273	10.74609	Norway
MCMSL335689	59.91273	10.74609	Norway
MCMSL335690	59.91273	10.74609	Norway
MCMSL335691	59.91273	10.74609	Norway
MCMSL335692	59.91273	10.74609	Norway
MCMSL335693	59.91273	10.74609	Norway
MCMSL335694	59.91273	10.74609	Norway
MCMSL335695	59.91273	10.74609	Norway
MCMSL335696	59.91273	10.74609	Norway
MCMSL335697	59.91273	10.74609	Norway
MCMSL335699	59.91273	10.74609	Norway
MCMSL335700	59.91273	10.74609	Norway
MCMSL335703	59.91273	10.74609	Norway
MCMSL335704	59.91273	10.74609	Norway
MCMSL335705	59.91273	10.74609	Norway
MCMSL335706	59.91273	10.74609	Norway
MCMSL335707	59.91273	10.74609	Norway
MCMSL335708	59.91273	10.74609	Norway
MCMSL335710	59.91273	10.74609	Norway
MCMSL335711	59.91273	10.74609	Norway
MCMSL335712	59.91273	10.74609	Norway
MCMSL335713	59.91273	10.74609	Norway
MCMSL335714	59.91273	10.74609	Norway
MCMSL335715	59.91273	10.74609	Norway
MCMSL335716	59.91273	10.74609	Norway
MCMSL335717	59.91273	10.74609	Norway
MCMSL335718	59.91273	10.74609	Norway
MCMSL335719	59.91273	10.74609	Norway
