ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ERR3230155_181036	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Inhavirus	NA
ERR3230155_37288	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	Kayvirus	NA
ERR3230155_197975	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230149_65230	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
ERR3230155_21878	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Deurplevirus	Deurplevirus deeppurple
8067.4.90153.AAGCCT_2629	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	Wphvirus	Wphvirus WPh
8067.2.90157.AAGCCT_2900	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230153_17983	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Rahariannevirus	Rahariannevirus raharianne
ERR3230155_141187	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Nitrincola phage 1M3-16
ERR3230155_229314	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Saintgironsvirus	Saintgironsvirus LE1
ERR3230148_261386	Viruses	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	NA	Alces alces faeces associated circular virus MP65
ERR3230152_217483	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Pelagibacter phage HTVC010P
8067.2.90157.AAGCCT_20787	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Planktothrix phage PaV-LD
ERR3230152_157488	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Aliceevansviridae	NA	Streptococcus phage phiNIH1.1
K7GSL311016_748	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	NA	NA
8067.2.90157.AAGCCT_16794	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Saffermanviridae	NA	NA
K7GSL311016_716	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Serwervirus	Serwervirus 201phi21
ERR3230152_184709	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	Podivirus	Podivirus S05C243
8023.5.90052.GTGCTT_3904	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230152_243712	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Azospirillum phage Cd
ERR3230155_151454	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	Kayvirus	NA
ERR3230153_209187	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230155_101397	NA	NA	NA	NA	NA	NA	NA	NA
8067.4.90153.ACCTCA_5639	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230147_266803	Viruses	NA	NA	NA	NA	NA	NA	NA
ERR3230154_17111	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Peduoviridae	Arsyunavirus	Arsyunavirus RSY1
ERR3230155_199979	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Wanderervirus	Wanderervirus wanderer
ERR3230155_99886	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8023.5.90052.GAGTCA_19740	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Fipvunavirus	NA
ERR3230148_56768	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Prasinovirus	Dishui lake phycodnavirus 1
ERR3230149_21612	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230150_102497	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230155_126562_1	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
K7GSL311018_951	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Thumleimavirales	Halomagnusviridae	Hagravirus	Hagravirus HGTV1
ERR3230155_225059	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	Sciuriunavirus	Sciuriunavirus SscM1
ERR3230155_139315	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Zierdtviridae	Ceetrepovirus	NA
ERR3230149_62501	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Kirjokansivirales	Pyrstoviridae	Hatrivirus	Hatrivirus HATV3
ERR3230155_187856	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
8067.2.90157.GTCGTA_12084	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Vhulanivirus	Vhulanivirus Shpa
8067.4.90153.GTGCTT_2176	Viruses	NA	NA	NA	NA	NA	NA	Staphylococcus phage PT1028
ERR3230148_151297	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ERR3230152_314650	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Bacillus phage phBC6A52
8066.6.90144.AAGAGG_1193	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Casjensviridae	NA	NA
ERR3230147_53124	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	NA	NA
K7GSL311019_23	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Omegavirus	NA
ERR3230152_253950	Viruses	NA	NA	NA	NA	NA	Pandoravirus	Pandoravirus salinus
