ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
OhJ_2014__MET0227_6	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_M_2626	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Rheavirus	Rheavirus sinusmexicani
BackhedF_2015__SID130_12M_671	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID133_B_812	Viruses	Bamfordvirae	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Leporipoxvirus	Myxoma virus
FengQ_2015__SID31880.part-2_775	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
BritoIL_2016__W1.21.ST_305	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID105_12M_2532	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID133_12M_4080	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_12M_2772	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Donellivirus	Donellivirus gee
BackhedF_2015__SID10_12M_2508	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Planktothrix phage PaV-LD
BackhedF_2015__SID133_4M_1375	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
LeChatelierE_2013__MH0425.part-2_866	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
BackhedF_2015__SID128_M_4415	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Herelleviridae	Tybeckvirus	Tybeckvirus tv521B
HMP_2012__SRS023847_69	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Pahexavirus	NA
LeChatelierE_2013__MH0436.part-1_2080	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Leicestervirus	NA
LeChatelierE_2013__MH0205.part-1_118	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Crassvirales	NA	NA	NA
