ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
DRR125123_1073929	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Bellamyvirus	Bellamyvirus bellamy
DRR147675_116670	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125123_201874	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Salacisavirus	Salacisavirus pssm2
DRR125123_1125056	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Machinavirus	Machinavirus machina
DRR125123_58011	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Schitoviridae	Litunavirus	NA
DRR147675_78292	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	NA	NA
80m_S1_L002_169	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Kyanoviridae	Cymopoleiavirus	Cymopoleiavirus swam2
DRR125122_397678	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
DRR147671_67335	Viruses	NA	NA	NA	NA	NA	NA	NA
50m_S10_L004_31937	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125122_593810	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	Raphidovirus	Heterosigma akashiwo virus 01
DRR125122_57243	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Immutovirus	Immutovirus immuto
DRR147672_45733	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Pushchinovirus	Pushchinovirus B83
DRR147672_11998	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147672_23385	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Acinetobacter phage phiAC-1
DRR147675_16396	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_14075	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_17294	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147671_18960	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Shapirovirus	NA
DRR147672_38916	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Lessievirus	Lessievirus bcep22
DRR147673_9076	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Kojivirus	Kojivirus golden
DRR147677_40255	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147678_93432	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Rhodoferax phage P26218
17_S4_L002_7425	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125125_431627	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147674_41676	Viruses	NA	NA	NA	NA	NA	NA	NA
DRR147674_47556	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
10S1_S5_L002_4583	Viruses	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Alloherpesviridae	Batravirus	Batravirus ranidallo1
10S1_S5_L002_4757	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147678_69915	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Clostridium phage phiCT453A
17_S4_L002_5644	Viruses	NA	NA	NA	NA	NA	NA	NA
