ID	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
DRR125123_574432	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Synechococcus phage S-CBS1
DRR147672_8931	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
17_S4_L002_216	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
17_S4_L002_376	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Lightbulbvirus	NA
17_S4_L002_663	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
17_S4_L002_5257	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	NA	Puniceispirillum phage HMO-2011
DRR147678_93892	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_2847	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Ryyoungvirus	Ryyoungvirus bcepC6B
4_S2_L001_3170	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147672_59267	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Synechococcus phage S-CBS4
DRR147673_45824	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Enhodamvirus	NA
DRR151115_36539	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
4_S2_L001_12722	Viruses	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae	Cafeteriavirus	Cafeteria roenbergensis virus
4_S2_L001_12969	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	NA	Thermoanaerobacterium phage THSA-485A
DRR147676_33065	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR147678_147591	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
80m_S1_L002_3433	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
DRR125122_759702	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
ZellerG_2014__CCMD13934959ST-21-0.part-1_2488	Viruses	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Lagaffevirus	Lagaffevirus lagaffe
